"view_history","rt","trialid","condition_between","procedure","trial_type","trial_index","time_elapsed","internal_node_id","condition_within","stimulus","response","slider_start"
"[{""page_index"":0,""viewing_time"":455}]","456","Instructions_001","Text","FONDECYT","instructions","795","624313","0.0-800.0","","","",""
"[{""page_index"":0,""viewing_time"":333}]","333","FONDECYT_01_1","Text","FONDECYT","instructions","796","624648","0.0-801.0-0.0","highQuality_Stroke","","",""
"","576.9000000022352","FONDECYT_02_1","Text","FONDECYT","survey-html-form","797","625228","0.0-801.0-1.0","highQuality_Stroke","{""Q0"":null}","{""Q0"":""79""}",""
"","773","FONDECYT_03_1","Text","FONDECYT","survey-multi-choice-vertical","798","626006","0.0-801.0-2.0","highQuality_Stroke","{""Q0"":""Has dicho que la probabilidad es del 79%¿Recomendarias la resonancia Weighted Difussion Imaging como prueba diagnóstica para detectar infarto cerebral a tu paciente?""}","{""Q0"":"" Si""}",""
"","568.6999999992549","FONDECYT_04_1","Text","FONDECYT","html-slider-response","799","626577","0.0-801.0-3.0","highQuality_Stroke","<div class='justified'>¿Con qué seguridad recomendarías la resonancia Weighted Difussion Imaging como prueba <u>diagnóstica</u> para el infarto cerebral?</div></br>","62","50"
"","846","FONDECYT_05_1","Text","FONDECYT","survey-multi-choice-vertical","800","627432","0.0-801.0-4.0","highQuality_Stroke","{""Q0"":""El tratamiento recomendado cuando hay sospecha de infarto cerebral es la trombolisis.Cuando se aplica, existe una probabilidad de hermorragia del 2%.Imagina que el resultado de prueba es POSITIVO. Recomendarías la trombolisis como tratamiento?""}","{""Q0"":"" Si""}",""
"","758.8000000007451","FONDECYT_06_1","Text","FONDECYT","html-slider-response","801","628199","0.0-801.0-5.0","highQuality_Stroke","<div class='justified'>¿Con qué seguridad recomendarías la trombolisis como tratamiento para el infarto cerebral?</div></br>","8","50"
"[{""page_index"":0,""viewing_time"":473}]","473","FONDECYT_01_2","Text","FONDECYT","instructions","802","628673","0.0-801.0-0.1","lowQuality_Stroke","","",""
"","778.1000000014901","FONDECYT_02_2","Text","FONDECYT","survey-html-form","803","629455","0.0-801.0-1.1","lowQuality_Stroke","{""Q0"":null}","{""Q0"":""79""}",""
"","802","FONDECYT_03_2","Text","FONDECYT","survey-multi-choice-vertical","804","630264","0.0-801.0-2.1","lowQuality_Stroke","{""Q0"":""Has dicho que la probabilidad es del 79%¿Recomendarias la resonancia Weighted Difussion Imaging como prueba diagnóstica para detectar infarto cerebral a tu paciente?""}","{""Q0"":"" Si""}",""
"","594.3999999985099","FONDECYT_04_2","Text","FONDECYT","html-slider-response","805","630861","0.0-801.0-3.1","lowQuality_Stroke","<div class='justified'>¿Con qué seguridad recomendarías la resonancia Weighted Difussion Imaging como prueba <u>diagnóstica</u> para el infarto cerebral?</div></br>","62","50"
"","812","FONDECYT_05_2","Text","FONDECYT","survey-multi-choice-vertical","806","631679","0.0-801.0-4.1","lowQuality_Stroke","{""Q0"":""El tratamiento recomendado cuando hay sospecha de infarto cerebral es la trombolisis.Cuando se aplica, existe una probabilidad de hermorragia del 2%.Imagina que el resultado de prueba es NEGATIVO. Recomendarías la trombolisis como tratamiento?""}","{""Q0"":"" Si""}",""
"","1081.300000000745","FONDECYT_06_2","Text","FONDECYT","html-slider-response","807","632763","0.0-801.0-5.1","lowQuality_Stroke","<div class='justified'>¿Con qué seguridad recomendarías la trombolisis como tratamiento para el infarto cerebral?</div></br>","8","50"
"[{""page_index"":0,""viewing_time"":498}]","499","FONDECYT_01_3","Text","FONDECYT","instructions","808","633263","0.0-801.0-0.2","lowQuality_Cancer","","",""
"","601.8999999985099","FONDECYT_02_3","Text","FONDECYT","survey-html-form","809","633869","0.0-801.0-1.2","lowQuality_Cancer","{""Q0"":null}","{""Q0"":""79""}",""
"","719","FONDECYT_03_3","Text","FONDECYT","survey-multi-choice-vertical","810","634593","0.0-801.0-2.2","lowQuality_Cancer","{""Q0"":""Has dicho que la probabilidad es del 79%¿Recomendarias la mamografía como prueba de screening para detectar cáncer de mama a tu paciente?""}","{""Q0"":"" Si""}",""
"","719.0999999977648","FONDECYT_04_3","Text","FONDECYT","html-slider-response","811","635316","0.0-801.0-3.2","lowQuality_Cancer","<div class='justified'>¿Con qué seguridad recomendarías la mamografía como prueba <u>de screening</u> para el cáncer de mama?</div></br>","62","50"
"","643","FONDECYT_05_3","Text","FONDECYT","survey-multi-choice-vertical","812","635966","0.0-801.0-4.2","lowQuality_Cancer","{""Q0"":""La prueba diagnóstica recomendada cuando hay sospecha de cáncer de mama es una biopsia del tejido mamario.Cuando se aplica, existe una probabilidad de infección del 1%.Imagina que el resultado de prueba es POSITIVO. Recomendarías la biopsia como prueba diagnóstica?""}","{""Q0"":"" Si""}",""
"","716.6999999992549","FONDECYT_06_3","Text","FONDECYT","html-slider-response","813","636686","0.0-801.0-5.2","lowQuality_Cancer","<div class='justified'>¿Con qué seguridad recomendarías la biopsia como prueba diagnóstica para el cáncer de mama?</div></br>","8","50"
"[{""page_index"":0,""viewing_time"":482}]","482","FONDECYT_01_4","Text","FONDECYT","instructions","814","637175","0.0-801.0-0.3","highQuality_Cancer","","",""
"","598","FONDECYT_02_4","Text","FONDECYT","survey-html-form","815","637779","0.0-801.0-1.3","highQuality_Cancer","{""Q0"":null}","{""Q0"":""79""}",""
"","801","FONDECYT_03_4","Text","FONDECYT","survey-multi-choice-vertical","816","638583","0.0-801.0-2.3","highQuality_Cancer","{""Q0"":""Has dicho que la probabilidad es del 79%¿Recomendarias la mamografía como prueba de screening para detectar cáncer de mama a tu paciente?""}","{""Q0"":"" Si""}",""
"","586.2000000029802","FONDECYT_04_4","Text","FONDECYT","html-slider-response","817","639172","0.0-801.0-3.3","highQuality_Cancer","<div class='justified'>¿Con qué seguridad recomendarías la mamografía como prueba <u>de screening</u> para el cáncer de mama?</div></br>","62","50"
"","606","FONDECYT_05_4","Text","FONDECYT","survey-multi-choice-vertical","818","639784","0.0-801.0-4.3","highQuality_Cancer","{""Q0"":""La prueba diagnóstica recomendada cuando hay sospecha de cáncer de mama es una biopsia del tejido mamario.Cuando se aplica, existe una probabilidad de infección del 1%.Imagina que el resultado de prueba es NEGATIVO. Recomendarías la biopsia como prueba diagnóstica?""}","{""Q0"":"" Si""}",""
"","808.8000000007451","FONDECYT_06_4","Text","FONDECYT","html-slider-response","819","640596","0.0-801.0-5.3","highQuality_Cancer","<div class='justified'>¿Con qué seguridad recomendarías la biopsia como prueba diagnóstica para el cáncer de mama?</div></br>","8","50"
